category_name,Total_Videos,Total_Views,Avg_Views,Avg_Likes,Avg_Engagement
Music,6467,40126286541,6204776.02,219046.35,5.27
Entertainment,9944,20561101882,2067689.25,53221.36,3.4
Film & Animation,2343,7267792432,3101917.38,70680.64,3.24
Comedy,3453,5111266590,1480239.38,62593.78,5.06
People & Blogs,3208,4910004664,1530550.08,58089.26,4.87
Sports,2172,4403213872,2027262.37,45402.82,1.89
Howto & Style,4142,4071011870,982861.39,39236.09,5.22
Science & Technology,2397,3473462753,1449087.51,34315.82,3.62
Gaming,816,2127799781,2607597.77,84288.68,4.73
News & Politics,2485,1473090484,592792.95,7298.67,2.31
Education,1655,1180175828,713097.18,29757.07,4.36
Pets & Animals,920,764651989,831143.47,21055.11,3.82
Autos & Vehicles,384,520690717,1355965.41,11056.4,2.13
Travel & Events,401,343100609,855612.49,12034.13,2.57
Nonprofits & Activism,57,168941392,2963884.07,259923.61,4.92
Shows,57,51501058,903527.33,18993.67,2.66
